Date,process-name,Name,time,ip,city,loc
03:49:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:50:06,app.py - team-eureka - Visual Studio Code,"code, Code",11888093,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:50:36,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:51:06,app.py - team-eureka - Visual Studio Code,"code, Code",11947552,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:51:18,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:52:06,● app.py - team-eureka - Visual Studio Code,"code, Code",12007135,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:53:03,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:53:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:54:01,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:54:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:55:04,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:55:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:56:06,app.py - team-eureka - Visual Studio Code,"code, Code",12217038,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:57:06,app.py - team-eureka - Visual Studio Code,"code, Code",12308202,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:57:28,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:58:06,app.py - team-eureka - Visual Studio Code,"code, Code",12367953,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:59:06,app.py - team-eureka - Visual Studio Code,"code, Code",12421399,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:00:06,script.py - team-eureka - Visual Studio Code,"code, Code",12481383,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:01:06,app.py - team-eureka - Visual Studio Code,"code, Code",12547963,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:01:34,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:02:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:03:00,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:03:06,app.py - team-eureka - Visual Studio Code,"code, Code",12668434,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:03:58,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:04:06,● app.py - team-eureka - Visual Studio Code,"code, Code",12726238,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:04:19,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:04:47,app.py - team-eureka - Visual Studio Code,"code, Code",12767492,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:05:06,Usage Report - Brave,"brave-browser, Brave-browser",12787768,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:06:06,app.py - team-eureka - Visual Studio Code,"code, Code",12847391,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:06:19,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
04:07:06,app.py - team-eureka - Visual Studio Code,"code, Code",12905504,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:08:06,Usage Report - Brave,"brave-browser, Brave-browser",12966626,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:09:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13028202,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:10:07,Activity-Outline/index.html at master · akshay-99/Activity-Outline - Brave,"brave-browser, Brave-browser",13087514,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:11:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",13139790,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:12:06,#general - Discord,"discord, discord",12412123,219.90.100.25,Mumbai,"19.0728,72.8826",5331
04:13:06,Usage Report - Brave,"brave-browser, Brave-browser",13259191,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:14:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",13327548,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:15:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",13385330,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:16:06,Usage Report - Brave,"brave-browser, Brave-browser",13448342,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:17:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",13500530,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:18:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13564034,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:19:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13627894,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:20:06,login.html - team-eureka - Visual Studio Code,"code, Code",13687431,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:21:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13747424,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:22:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",13808262,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:23:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13864364,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:24:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",13928005,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:25:06,Usage Report - Brave,"brave-browser, Brave-browser",13961359,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:26:06,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",14040749,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:27:06,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",14107373,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:28:06,New Tab - Brave,"brave-browser, Brave-browser",14168289,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:29:06,Adding a Google Map with a Marker to Your Website - Brave,"brave-browser, Brave-browser",14214729,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:30:06,Usage Report - Brave,"brave-browser, Brave-browser",14252520,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:31:07,#general - Discord,"discord, discord",14327203,219.90.100.25,Mumbai,"19.0728,72.8826",5331
04:32:06,#general - Discord,"discord, discord",14403628,219.90.100.25,Mumbai,"19.0728,72.8826",5331
04:33:07,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",14466741,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:34:06,Airmeet - Brave,"brave-browser, Brave-browser",14498475,219.90.100.25,Mumbai,"19.0728,72.8826",4478
04:35:07,demo-02-14-2021.csv - team-eureka - Visual Studio Code,"code, Code",14475652,219.90.100.25,Mumbai,"19.0728,72.8826",3852
04:36:06,django dyanmic href - Google Search - Brave,"brave-browser, Brave-browser",14646542,219.90.100.25,Mumbai,"19.0728,72.8826",4478
